student_id,study_level,video_completion_pct,lecture_duration_min,pause_count,rewatch_count,quiz_attempts,quiz_score_pct,notes_taken,questions_asked,login_delay_min,sessions_per_week,screen_time_hours,completion_ratio,quiz_efficiency,engagement_score,performance_category,next_quiz_score,reference_behavior_group
S1199,Very Good,97.1,25.3,3,0,3,72.9,Yes,0,4.4,1,5.7,0.971,24.3,47.2,Low,74.0,Complete learners
S1200,Good,89.4,23.2,6,4,3,71.3,Yes,2,2.4,7,3.7,0.894,23.78,100.0,Very Good,74.4,Mixed learners
S1201,Good,94.2,49.1,2,1,3,60.0,Yes,1,5.6,2,4.8,0.942,20.0,55.8,Low,68.4,Complete learners
S1202,Poor,56.9,39.9,1,6,4,24.8,Sometimes,1,13.4,3,4.4,0.569,6.2,25.6,Poor,42.8,Rewatch learners
S1203,Low,62.9,37.5,3,6,3,45.4,Sometimes,4,0.6,5,2.8,0.629,15.14,85.4,Good,50.9,Rewatch learners
S1204,Very Good,92.4,49.2,8,1,3,61.1,Sometimes,2,11.0,2,4.3,0.924,20.36,36.6,Poor,67.4,Mixed learners
S1205,Good,85.4,50.6,8,1,1,50.4,No,1,0.0,2,4.2,0.854,50.36,49.0,Low,61.6,Complete learners
S1206,Poor,54.7,26.4,7,4,1,40.5,Yes,1,4.1,1,4.2,0.547,40.49,25.6,Poor,39.1,Mixed learners
S1207,Poor,60.8,44.4,7,2,2,59.6,No,1,5.7,6,4.6,0.608,29.81,64.3,Good,60.8,Mixed learners
S1208,Good,86.4,25.4,7,2,3,64.2,Sometimes,2,19.7,3,4.6,0.864,21.4,27.1,Poor,62.1,Last-minute learners
S1209,Poor,60.9,50.1,3,3,1,40.0,Yes,1,6.1,10,3.7,0.609,39.99,100.0,Very Good,59.1,Mixed learners
S1210,Low,64.4,46.3,6,0,5,36.2,Sometimes,3,0.0,3,6.8,0.644,7.24,59.8,Low,38.8,Quiz-focused learners
S1211,Medium,75.6,58.3,7,2,4,51.4,Sometimes,0,0.0,3,2.4,0.756,12.85,50.3,Low,52.5,Quiz-focused learners
S1212,Good,70.0,22.8,7,1,3,49.8,Sometimes,0,8.2,3,3.2,0.7,16.6,31.5,Poor,61.5,Mixed learners
S1213,Good,93.3,22.3,9,2,3,66.0,Yes,4,12.3,5,9.5,0.933,21.99,71.8,Medium,72.7,Mixed learners
S1214,Low,67.8,31.3,7,5,2,46.2,Sometimes,2,10.6,4,2.6,0.678,23.11,43.2,Poor,54.4,Rewatch learners
S1215,Good,94.0,30.5,6,0,1,66.4,Yes,2,9.2,6,2.1,0.94,66.38,80.8,Good,77.2,Complete learners
S1216,Low,41.8,29.9,8,4,3,54.3,No,1,16.1,3,5.8,0.418,18.1,10.2,Poor,54.3,Mixed learners
S1217,Medium,91.7,56.3,5,2,3,67.8,Yes,3,4.2,2,0.8,0.917,22.6,64.7,Medium,78.4,Mixed learners
S1218,Good,84.9,30.0,2,2,1,57.8,Yes,3,14.3,1,4.1,0.849,57.81,36.7,Poor,66.6,Mixed learners
S1219,Good,94.9,30.9,5,4,3,61.2,No,2,0.0,1,8.4,0.949,20.41,55.9,Low,65.7,Mixed learners
S1220,Very Good,85.7,50.4,3,3,2,55.7,Sometimes,0,1.7,3,1.7,0.857,27.85,57.3,Low,61.2,Mixed learners
S1221,Good,90.9,38.0,3,4,1,70.4,No,0,0.0,4,0.9,0.909,70.35,73.4,Medium,68.0,Mixed learners
S1222,Good,77.6,51.1,5,4,1,49.9,Yes,0,6.1,3,1.8,0.776,49.89,45.5,Low,69.4,Mixed learners
S1223,Poor,50.0,22.6,3,2,2,42.9,Sometimes,1,7.7,7,6.1,0.5,21.43,67.2,Medium,48.8,Mixed learners
S1224,Medium,90.3,39.5,4,1,5,61.1,Sometimes,0,8.8,7,6.5,0.903,12.21,76.2,Good,78.0,Complete learners
S1225,Low,63.5,21.3,0,0,3,44.5,No,2,8.4,4,3.6,0.635,14.85,56.3,Medium,56.8,Mixed learners
S1226,Low,66.7,22.5,6,1,1,39.1,No,0,1.5,1,5.7,0.667,39.05,27.2,Poor,40.7,Mixed learners
S1227,Very Good,100.0,56.3,5,8,3,67.6,No,4,6.7,3,7.0,1.0,22.53,71.7,Medium,78.4,Rewatch learners
S1228,Medium,79.0,25.6,3,5,1,55.0,Sometimes,0,0.0,3,7.7,0.79,55.05,58.1,Medium,63.8,Rewatch learners
S1229,Very Good,95.2,41.3,7,0,4,66.8,Sometimes,0,17.5,3,4.1,0.952,16.71,25.1,Poor,80.0,Last-minute learners
S1230,Good,88.9,36.4,8,0,2,55.7,Yes,0,5.9,3,0.5,0.889,27.87,46.5,Poor,64.0,Complete learners
S1231,Good,100.0,33.9,0,3,2,74.8,Yes,2,4.6,3,3.0,1.0,37.38,78.8,Good,73.7,Mixed learners
S1232,Medium,74.5,56.0,3,4,4,46.5,Sometimes,0,19.1,4,3.7,0.745,11.63,24.6,Poor,53.4,Last-minute learners
S1233,Good,87.6,20.9,3,4,1,73.1,Yes,2,0.0,3,4.0,0.876,73.12,78.8,Good,76.5,Mixed learners
S1234,Medium,83.4,46.6,2,2,1,43.6,Yes,1,0.1,5,4.2,0.834,43.55,83.7,Very Good,62.3,Mixed learners
S1235,Low,73.8,58.5,7,2,2,56.7,Yes,2,0.3,5,6.5,0.738,28.35,80.0,Good,64.4,Mixed learners
S1236,Good,95.5,42.4,4,3,4,66.8,Sometimes,1,7.5,3,6.8,0.955,16.69,54.7,Low,61.8,Quiz-focused learners
S1237,Low,70.1,57.5,4,3,1,45.2,Sometimes,2,11.0,7,4.2,0.701,45.18,71.5,Medium,62.2,Mixed learners
S1238,Poor,45.9,22.1,0,0,1,44.0,No,3,13.2,3,6.5,0.459,44.03,37.5,Poor,53.8,Mixed learners
S1239,Good,99.1,36.8,7,2,2,74.8,Yes,0,26.0,1,5.1,0.991,37.41,0.0,Poor,78.2,Last-minute learners
S1240,Low,55.8,30.4,1,1,3,27.4,No,3,0.0,5,4.6,0.558,9.13,78.5,Good,44.9,Mixed learners
S1241,Very Good,96.4,49.2,5,3,4,67.4,Sometimes,3,12.3,3,6.1,0.964,16.85,54.2,Low,74.9,Quiz-focused learners
S1242,Very Good,88.0,59.3,6,8,2,39.6,Sometimes,2,4.1,5,4.6,0.88,19.82,71.5,Medium,60.2,Rewatch learners
S1243,Very Good,93.5,30.3,9,3,2,54.3,Sometimes,1,3.9,1,8.2,0.935,27.17,35.3,Poor,64.6,Mixed learners
S1244,Medium,77.6,46.2,1,2,4,68.0,Sometimes,1,3.7,7,1.9,0.776,16.99,92.9,Very Good,76.6,Quiz-focused learners
S1245,Poor,57.6,27.9,0,4,1,41.3,No,3,1.6,6,3.6,0.576,41.25,88.1,Good,50.4,Mixed learners
S1246,Very Good,97.4,42.6,6,3,2,54.4,Sometimes,2,19.8,1,4.3,0.974,27.21,14.4,Poor,57.2,Last-minute learners
S1247,Medium,87.9,38.6,10,3,3,58.0,Sometimes,1,13.9,2,5.3,0.879,19.33,20.6,Poor,61.0,Mixed learners
S1248,Very Good,97.6,58.9,9,4,3,80.5,Yes,2,8.2,8,6.8,0.976,26.83,98.4,Very Good,94.1,Mixed learners
S1249,Very Good,92.0,44.3,6,7,2,46.8,Yes,0,17.5,3,4.5,0.92,23.38,25.7,Poor,60.8,Last-minute learners
S1250,Very Good,100.0,34.0,4,0,3,56.6,Yes,0,0.0,3,1.9,1.0,18.86,68.3,Good,71.7,Complete learners
S1251,Low,74.5,24.6,7,3,1,65.5,Yes,3,0.0,1,6.0,0.745,65.51,55.7,Low,65.6,Mixed learners
S1252,Medium,65.2,26.0,2,1,2,64.2,Sometimes,1,0.0,4,5.9,0.652,32.1,69.7,Medium,67.0,Mixed learners
S1253,Very Good,98.8,29.0,6,4,3,63.6,No,2,3.1,4,1.0,0.988,21.21,74.1,Good,79.0,Mixed learners
S1254,Medium,80.6,30.0,7,1,1,46.4,Yes,1,9.1,6,4.5,0.806,46.36,65.7,Good,65.1,Complete learners
S1255,Low,62.6,54.0,8,2,3,64.9,Sometimes,1,8.7,2,1.6,0.626,21.65,26.5,Poor,52.0,Mixed learners
S1256,Good,97.0,42.4,13,2,3,76.4,Sometimes,1,9.0,1,3.3,0.97,25.47,24.6,Poor,71.4,Mixed learners
S1257,Very Good,92.8,40.9,6,4,2,67.2,Sometimes,4,0.0,5,2.9,0.928,33.6,96.9,Very Good,75.0,Mixed learners
S1258,Good,87.0,24.6,3,4,3,52.7,Sometimes,0,13.6,7,6.0,0.87,17.55,65.2,Medium,59.9,Mixed learners
S1259,Good,84.6,54.4,5,0,1,57.7,Sometimes,1,9.7,1,4.7,0.846,57.68,27.3,Poor,66.1,Complete learners
S1260,Poor,55.1,48.9,0,3,2,43.5,Sometimes,3,13.1,7,2.2,0.551,21.76,72.7,Medium,55.2,Mixed learners
S1261,Good,77.2,22.7,3,1,3,57.4,No,0,0.0,5,6.1,0.772,19.13,74.0,Medium,66.6,Mixed learners
S1262,Very Good,82.5,48.3,4,0,3,68.7,Yes,1,10.2,7,1.9,0.825,22.91,81.3,Good,86.4,Mixed learners
S1263,Low,77.8,41.7,3,2,2,62.0,No,1,0.0,4,5.1,0.778,31.01,72.1,Good,62.3,Mixed learners
S1264,Medium,68.2,23.3,5,2,3,42.1,No,0,5.2,1,3.0,0.682,14.03,22.4,Poor,48.5,Mixed learners
S1265,Very Good,86.1,38.3,3,7,3,69.7,Sometimes,3,11.7,4,3.8,0.861,23.25,63.1,Medium,71.6,Rewatch learners
S1266,Good,68.8,39.4,8,3,1,53.5,Yes,0,8.6,7,5.4,0.688,53.45,65.5,Medium,66.1,Mixed learners
S1267,Good,80.9,26.6,5,0,4,61.9,Sometimes,2,2.0,3,5.4,0.809,15.47,63.1,Low,60.4,Complete learners
S1268,Good,75.4,57.8,5,1,2,65.7,Sometimes,0,8.0,4,6.9,0.754,32.83,47.9,Low,75.1,Mixed learners
S1269,Medium,88.1,54.0,4,5,3,50.8,Sometimes,2,0.0,4,4.4,0.881,16.92,77.0,Medium,60.5,Rewatch learners
S1270,Low,73.1,46.8,5,7,4,52.6,Sometimes,1,16.1,1,5.1,0.731,13.15,9.5,Poor,56.4,Last-minute learners
S1271,Good,80.5,38.5,7,0,1,52.0,Yes,3,6.6,8,3.7,0.805,51.97,97.9,Very Good,62.4,Complete learners
S1272,Good,100.0,36.5,2,0,2,52.5,Yes,3,15.8,3,4.8,1.0,26.23,53.8,Low,73.8,Last-minute learners
S1273,Very Good,100.0,46.0,3,6,2,67.8,Sometimes,2,4.3,6,5.3,1.0,33.89,93.4,Good,84.5,Rewatch learners
S1274,Very Good,91.4,41.8,4,3,2,81.2,Sometimes,3,4.3,4,4.3,0.914,40.61,80.6,Good,80.6,Mixed learners
S1275,Medium,55.0,22.5,1,1,5,30.0,Yes,2,2.7,7,1.3,0.55,6.01,88.5,Good,48.9,Quiz-focused learners
S1276,Medium,93.3,40.5,3,4,1,61.7,No,1,14.1,5,5.1,0.933,61.74,57.2,Low,74.0,Mixed learners
S1277,Good,74.9,52.3,4,0,2,58.8,Sometimes,0,3.0,4,5.2,0.749,29.41,57.9,Medium,74.3,Mixed learners
S1278,Good,72.8,38.4,8,3,3,53.8,Sometimes,2,12.5,3,3.3,0.728,17.92,33.2,Poor,48.6,Mixed learners
S1279,Good,94.2,22.1,6,3,1,61.5,Yes,0,5.3,6,2.2,0.942,61.48,77.6,Medium,81.0,Mixed learners
S1280,Good,100.0,51.5,6,4,2,54.6,No,1,0.0,1,7.2,1.0,27.3,49.9,Low,57.5,Mixed learners
S1281,Very Good,100.0,28.1,8,0,3,66.9,Sometimes,0,4.0,6,5.4,1.0,22.29,76.4,Good,78.7,Complete learners
S1282,Medium,79.5,30.3,5,3,2,49.7,Yes,0,0.0,2,4.1,0.795,24.86,50.3,Low,57.0,Mixed learners
S1283,Medium,79.8,26.6,6,1,2,38.4,Sometimes,4,8.2,7,2.5,0.798,19.19,86.1,Very Good,56.9,Mixed learners
S1284,Poor,61.8,33.2,5,3,2,57.4,No,2,0.0,5,3.0,0.618,28.69,75.6,Medium,60.1,Mixed learners
S1285,Good,92.1,50.3,6,1,1,69.1,Yes,0,14.5,6,6.8,0.921,69.1,60.1,Low,75.0,Mixed learners
S1286,Poor,57.2,40.8,3,2,3,46.2,Sometimes,3,7.4,5,4.7,0.572,15.39,65.0,Medium,57.7,Mixed learners
S1287,Medium,75.8,28.2,0,1,5,56.0,Sometimes,0,6.8,1,3.5,0.758,11.19,32.2,Poor,46.6,Quiz-focused learners
S1288,Medium,74.5,55.1,5,4,3,62.1,No,1,12.6,3,5.4,0.745,20.71,34.8,Poor,65.2,Mixed learners
S1289,Low,59.0,55.2,9,4,3,48.3,Sometimes,2,14.7,6,3.0,0.59,16.11,45.3,Poor,54.6,Mixed learners
S1290,Good,83.8,54.8,8,2,3,64.9,Sometimes,2,7.9,5,7.2,0.838,21.64,64.6,Low,65.0,Mixed learners
S1291,Poor,41.5,29.6,8,3,1,36.3,No,1,2.6,7,6.9,0.415,36.28,65.6,Medium,47.4,Mixed learners
S1292,Poor,54.2,38.0,9,0,5,54.9,No,4,0.0,5,3.7,0.542,10.98,76.5,Medium,48.7,Quiz-focused learners
S1293,Good,78.1,59.4,5,2,3,57.7,Yes,1,3.2,3,3.4,0.781,19.24,58.0,Low,64.4,Mixed learners
S1294,Medium,66.2,50.9,6,2,4,51.3,No,2,3.7,3,0.5,0.662,12.83,51.1,Low,47.0,Quiz-focused learners
S1295,Low,66.4,21.1,3,8,2,39.7,No,3,8.7,5,1.8,0.664,19.87,64.2,Medium,54.1,Rewatch learners
S1296,Medium,86.1,22.6,4,0,5,61.1,Sometimes,0,5.6,1,2.1,0.861,12.21,33.2,Poor,56.8,Complete learners
S1297,Good,93.3,38.6,7,5,3,55.4,Yes,2,12.8,8,4.7,0.933,18.45,85.6,Very Good,75.2,Rewatch learners
S1298,Low,52.4,56.4,9,4,3,38.5,No,1,3.7,5,3.9,0.524,12.83,50.1,Low,48.4,Mixed learners
S1299,Good,78.1,41.5,5,3,3,48.6,Sometimes,1,7.6,7,2.1,0.781,16.2,75.4,Good,60.3,Mixed learners
S1300,Poor,62.5,39.9,4,6,2,39.6,No,1,16.3,1,4.0,0.625,19.8,4.2,Poor,42.3,Rewatch learners
S1301,Poor,47.1,24.2,5,3,4,58.2,No,1,10.4,7,5.4,0.471,14.55,60.9,Low,52.6,Quiz-focused learners
S1302,Medium,73.2,46.3,7,3,3,63.6,No,2,7.6,9,5.5,0.732,21.2,94.7,Very Good,78.1,Mixed learners
S1303,Medium,79.4,52.9,1,2,1,71.1,Yes,2,3.8,2,1.1,0.794,71.09,62.9,Low,78.7,Mixed learners
S1304,Good,78.3,35.2,0,5,1,45.4,No,1,3.6,6,4.3,0.783,45.43,82.3,Very Good,74.4,Rewatch learners
S1305,Good,86.8,51.0,3,5,2,59.6,No,2,2.0,5,2.0,0.868,29.82,83.7,Very Good,69.3,Rewatch learners
S1306,Very Good,83.3,58.6,1,1,3,47.1,Sometimes,3,4.2,1,6.1,0.833,15.72,51.7,Low,56.9,Complete learners
S1307,Medium,70.2,28.2,3,0,2,46.0,Yes,2,13.3,5,5.9,0.702,23.01,56.7,Low,50.5,Mixed learners
S1308,Medium,77.6,40.9,5,2,4,47.6,Sometimes,2,6.4,6,2.9,0.776,11.89,74.3,Good,68.9,Quiz-focused learners
S1309,Good,73.3,31.5,4,1,1,62.9,Sometimes,3,0.0,3,3.1,0.733,62.88,71.2,Medium,66.4,Mixed learners
S1310,Low,68.5,51.7,9,2,3,47.7,No,1,20.4,7,3.7,0.685,15.89,40.3,Poor,58.4,Mixed learners
S1311,Medium,74.8,43.1,6,5,1,62.2,Sometimes,1,10.2,1,0.5,0.748,62.23,22.2,Poor,64.9,Rewatch learners
S1312,Poor,59.4,45.4,6,2,3,51.6,Sometimes,2,0.0,2,5.1,0.594,17.19,48.1,Low,48.9,Mixed learners
S1313,Poor,56.8,51.9,7,2,2,64.0,Sometimes,0,4.9,5,4.0,0.568,31.99,52.4,Poor,59.9,Mixed learners
S1314,Very Good,100.0,35.8,2,3,3,53.2,Sometimes,2,8.8,5,6.2,1.0,17.72,75.1,Good,71.6,Mixed learners
S1315,Very Good,95.0,56.6,8,4,1,72.8,Sometimes,0,19.9,3,2.5,0.95,72.82,20.0,Poor,69.2,Last-minute learners
S1316,Good,82.6,41.3,5,0,4,66.3,No,1,0.2,6,3.4,0.826,16.58,87.2,Good,78.4,Complete learners
S1317,Medium,76.0,26.3,7,1,4,46.4,Sometimes,0,14.8,6,1.8,0.76,11.6,43.7,Poor,55.0,Quiz-focused learners
S1318,Low,69.3,47.8,2,3,3,59.3,No,1,17.8,6,2.7,0.693,19.75,50.5,Poor,60.1,Mixed learners
S1319,Low,65.4,51.7,0,5,2,52.1,Yes,1,3.6,4,2.4,0.654,26.06,67.1,Medium,54.7,Rewatch learners
S1320,Low,65.3,32.7,7,2,3,47.6,Yes,2,6.1,6,6.3,0.653,15.86,71.8,Good,64.6,Mixed learners
S1321,Medium,69.4,54.3,6,0,2,44.6,Yes,1,0.7,4,3.2,0.694,22.32,63.7,Good,53.3,Mixed learners
S1322,Good,80.7,56.2,2,4,4,50.6,Yes,2,6.6,9,4.7,0.807,12.64,100.0,Very Good,66.3,Quiz-focused learners
S1323,Good,74.8,31.1,2,1,4,70.0,Sometimes,1,7.7,3,3.8,0.748,17.51,50.7,Low,63.9,Quiz-focused learners
S1324,Low,79.0,59.3,8,0,4,55.6,Yes,2,12.6,9,2.2,0.79,13.89,87.5,Very Good,75.1,Quiz-focused learners
S1325,Very Good,84.0,25.6,1,1,2,64.1,Sometimes,1,15.6,5,4.2,0.84,32.04,54.5,Low,64.6,Last-minute learners
S1326,Good,80.5,28.1,10,2,3,49.9,Sometimes,1,2.8,2,5.6,0.805,16.63,38.6,Poor,49.8,Mixed learners
S1327,Good,80.3,27.4,2,1,1,49.9,Sometimes,1,0.0,7,2.3,0.803,49.87,96.1,Very Good,76.1,Complete learners
S1328,Good,93.2,55.8,7,0,3,70.6,Sometimes,2,7.9,5,6.0,0.932,23.53,70.5,Medium,72.5,Complete learners
S1329,Medium,72.6,46.2,4,4,3,41.9,Yes,2,10.1,6,3.0,0.726,13.96,69.7,Medium,58.2,Mixed learners
S1330,Low,75.0,26.1,7,5,1,50.4,Sometimes,0,9.7,7,3.6,0.75,50.42,62.3,Medium,62.4,Rewatch learners
S1331,Medium,69.6,37.6,3,4,1,51.6,Sometimes,1,5.7,5,5.5,0.696,51.6,63.8,Medium,57.2,Mixed learners
S1332,Good,88.2,44.6,5,0,2,60.6,Yes,0,8.9,3,3.3,0.882,30.3,45.8,Low,71.9,Complete learners
S1333,Poor,48.3,23.3,5,2,2,40.3,No,4,18.6,6,4.6,0.483,20.16,48.3,Poor,53.4,Mixed learners
S1334,Poor,72.2,55.3,2,2,1,55.6,Sometimes,1,10.7,5,3.9,0.722,55.64,57.0,Low,60.7,Mixed learners
S1335,Poor,45.5,52.1,7,4,3,46.0,Yes,2,5.4,6,4.7,0.455,15.34,65.9,Medium,47.8,Mixed learners
S1336,Poor,57.5,40.2,3,4,3,51.7,Sometimes,1,4.5,1,0.5,0.575,17.25,30.0,Poor,54.1,Mixed learners
S1337,Very Good,99.1,58.7,4,1,2,56.7,Sometimes,0,6.8,5,1.2,0.991,28.35,66.4,Medium,70.4,Complete learners
S1338,Good,89.3,36.7,2,3,2,57.9,No,0,19.5,3,5.6,0.893,28.96,24.9,Poor,73.3,Last-minute learners
S1339,Medium,73.5,59.4,0,3,4,62.6,Sometimes,4,6.7,8,6.4,0.735,15.66,100.0,Very Good,61.3,Quiz-focused learners
S1340,Poor,54.0,46.7,4,5,4,51.4,Yes,0,7.9,6,2.9,0.54,12.86,59.5,Medium,60.5,Rewatch learners
S1341,Medium,75.4,45.4,12,4,2,42.9,Sometimes,1,4.6,5,4.1,0.754,21.46,52.7,Low,65.8,Mixed learners
S1342,Medium,73.8,26.6,7,4,2,56.0,Sometimes,2,15.7,5,5.0,0.738,28.02,45.2,Poor,61.2,Last-minute learners
S1343,Low,72.7,55.3,5,3,3,36.9,No,0,21.7,3,5.7,0.727,12.3,5.9,Poor,47.0,Last-minute learners
S1344,Medium,92.7,37.1,4,5,2,62.1,No,0,11.2,8,0.9,0.927,31.04,80.5,Good,79.4,Rewatch learners
S1345,Medium,70.5,26.5,5,3,2,66.9,Yes,3,8.6,8,2.9,0.705,33.46,96.4,Very Good,74.2,Mixed learners
S1346,Good,75.0,20.5,7,1,3,46.2,Sometimes,1,8.3,5,3.9,0.75,15.4,53.5,Low,56.4,Mixed learners
S1347,Good,85.3,42.4,1,5,1,51.7,Sometimes,0,0.0,8,5.8,0.853,51.71,100.0,Very Good,68.3,Rewatch learners
S1348,Poor,75.6,41.1,8,4,4,60.1,No,2,13.2,3,9.0,0.756,15.04,34.1,Poor,58.6,Quiz-focused learners
S1349,Medium,68.6,48.8,7,2,3,38.5,Yes,2,8.9,3,4.1,0.686,12.84,41.3,Poor,56.9,Mixed learners
S1350,Good,99.1,55.6,7,2,2,59.5,Yes,3,11.0,5,2.0,0.991,29.77,73.1,Good,77.8,Mixed learners
S1351,Medium,88.4,23.2,6,3,2,64.6,Sometimes,0,3.0,5,5.2,0.884,32.28,68.8,Medium,73.3,Mixed learners
S1352,Very Good,89.6,49.3,5,3,2,55.2,No,0,5.3,4,6.9,0.896,27.62,56.3,Low,69.3,Mixed learners
S1353,Good,90.6,27.5,7,3,1,58.9,Sometimes,0,5.1,6,4.7,0.906,58.86,70.7,Medium,70.2,Mixed learners
S1354,Low,78.0,54.3,7,3,4,61.1,Yes,2,15.2,5,2.9,0.78,15.27,52.7,Low,66.1,Last-minute learners
S1355,Poor,52.0,52.8,4,6,3,46.8,Sometimes,1,5.3,3,6.2,0.52,15.59,39.8,Poor,44.3,Rewatch learners
S1356,Good,84.4,41.6,3,5,3,60.1,Yes,1,22.6,6,5.7,0.844,20.03,48.9,Low,73.4,Last-minute learners
S1357,Poor,50.3,48.4,5,3,4,39.9,Sometimes,1,11.0,6,2.7,0.503,9.99,49.1,Poor,43.8,Quiz-focused learners
S1358,Good,77.9,32.6,10,4,1,58.0,Yes,1,0.0,5,5.2,0.779,58.01,72.9,Medium,65.8,Mixed learners
S1359,Very Good,88.8,38.8,1,0,3,59.0,Sometimes,1,7.1,7,6.3,0.888,19.66,88.2,Very Good,70.5,Complete learners
S1360,Good,76.2,52.9,1,3,2,58.0,No,0,3.4,2,6.6,0.762,28.98,45.9,Poor,69.4,Mixed learners
S1361,Medium,75.3,38.4,5,6,4,49.9,Sometimes,0,0.0,5,4.4,0.753,12.47,68.8,Medium,46.2,Rewatch learners
S1362,Good,79.8,34.3,5,2,1,54.5,No,1,19.2,2,3.9,0.798,54.47,13.9,Poor,57.0,Last-minute learners
S1363,Medium,76.9,39.8,6,1,2,46.7,Yes,3,12.9,2,6.7,0.769,23.34,36.4,Poor,64.4,Mixed learners
S1364,Medium,62.6,53.1,6,1,2,47.9,Yes,0,11.7,3,2.3,0.626,23.93,27.0,Poor,54.7,Mixed learners
S1365,Very Good,96.6,33.4,4,0,3,57.0,Yes,0,9.2,3,5.3,0.966,19.0,48.9,Low,73.1,Complete learners
S1366,Medium,81.7,27.0,9,1,3,47.8,Sometimes,1,0.0,3,2.0,0.817,15.95,53.7,Low,57.3,Complete learners
S1367,Very Good,78.1,48.5,0,2,2,57.2,No,0,4.6,4,6.4,0.781,28.6,61.5,Medium,59.5,Mixed learners
S1368,Very Good,97.0,53.0,3,0,2,65.3,Yes,0,13.9,6,4.0,0.97,32.67,66.7,Medium,68.8,Mixed learners
S1369,Low,74.8,24.0,5,3,2,59.9,Sometimes,1,0.6,4,6.8,0.748,29.97,66.4,Medium,64.4,Mixed learners
S1370,Poor,45.3,29.6,0,4,1,36.9,No,2,0.0,1,5.4,0.453,36.95,41.3,Poor,32.0,Mixed learners
S1371,Poor,68.4,25.7,4,1,4,54.0,Sometimes,0,6.4,7,2.3,0.684,13.51,71.9,Good,60.2,Quiz-focused learners
S1372,Poor,58.4,33.9,10,6,2,50.7,No,0,7.0,3,7.1,0.584,25.33,25.5,Poor,48.9,Rewatch learners
S1373,Poor,49.4,38.0,5,4,1,45.8,Sometimes,5,8.9,4,7.3,0.494,45.77,58.0,Low,56.7,Mixed learners
S1374,Good,85.6,50.0,6,5,2,51.9,Sometimes,1,13.1,5,6.1,0.856,25.95,50.1,Low,76.2,Rewatch learners
S1375,Poor,59.5,46.0,1,1,1,48.0,No,0,12.5,5,3.1,0.595,47.95,44.0,Poor,55.3,Mixed learners
S1376,Medium,75.6,44.8,3,4,1,56.9,Yes,0,9.8,7,3.9,0.756,56.94,73.7,Good,68.7,Mixed learners
S1377,Very Good,98.3,34.1,4,0,1,64.3,No,3,16.4,5,4.8,0.983,64.3,63.5,Medium,69.0,Last-minute learners
S1378,Poor,47.6,53.7,4,4,3,24.7,No,0,0.0,3,3.2,0.476,8.25,39.6,Poor,36.2,Mixed learners
S1379,Good,87.4,38.9,9,3,4,60.6,No,2,11.5,9,7.5,0.874,15.15,88.1,Very Good,86.4,Quiz-focused learners
S1380,Low,53.7,59.2,7,4,3,61.9,Yes,1,12.4,5,4.8,0.537,20.62,44.9,Poor,61.9,Mixed learners
S1381,Poor,54.1,45.4,2,0,2,41.5,Sometimes,1,0.0,4,0.5,0.541,20.73,61.2,Medium,35.1,Mixed learners
S1382,Good,78.8,25.1,6,1,3,49.6,Sometimes,1,0.0,6,5.1,0.788,16.54,81.5,Good,66.3,Mixed learners
S1383,Good,80.1,47.0,6,4,2,59.0,No,2,2.8,5,3.9,0.801,29.52,75.3,Good,71.4,Mixed learners
S1384,Very Good,100.0,33.0,8,1,2,67.5,No,1,3.4,5,4.4,1.0,33.75,74.8,Medium,69.2,Complete learners
S1385,Good,94.7,47.5,10,3,1,72.2,Sometimes,0,13.3,9,3.8,0.947,72.17,78.0,Good,87.0,Mixed learners
S1386,Good,90.9,22.8,2,0,1,50.8,Yes,2,3.7,4,6.0,0.909,50.83,77.6,Good,68.5,Complete learners
S1387,Low,56.3,27.0,3,4,2,51.2,Yes,1,2.0,4,6.5,0.563,25.58,62.4,Medium,55.7,Mixed learners
S1388,Low,62.5,54.2,1,0,3,52.8,No,1,3.7,5,5.0,0.625,17.61,68.5,Medium,53.8,Mixed learners
S1389,Good,95.7,29.1,4,4,2,61.9,Sometimes,3,15.8,7,3.9,0.957,30.96,79.2,Good,81.9,Last-minute learners
S1390,Good,87.1,53.5,6,4,2,61.9,Yes,2,8.1,1,4.4,0.871,30.96,39.7,Poor,63.2,Mixed learners
S1391,Very Good,100.0,31.2,8,1,1,73.2,Sometimes,2,6.7,1,4.5,1.0,73.24,42.2,Poor,64.9,Complete learners
S1392,Medium,78.1,45.7,5,4,3,62.1,Yes,4,7.2,3,3.1,0.781,20.71,65.8,Medium,56.4,Mixed learners
S1393,Medium,76.5,47.8,4,3,1,45.3,No,3,17.0,1,5.5,0.765,45.3,18.8,Poor,56.2,Last-minute learners
S1394,Good,83.5,40.5,5,1,3,64.1,Yes,0,2.8,4,5.3,0.835,21.38,65.1,Medium,74.4,Complete learners
S1395,Medium,76.1,32.2,2,0,1,53.7,Yes,2,17.2,6,7.3,0.761,53.71,61.9,Medium,67.8,Last-minute learners
S1396,Very Good,92.8,28.5,11,0,2,62.3,Yes,1,9.5,3,6.8,0.928,31.17,42.5,Poor,68.9,Complete learners
S1397,Very Good,99.7,21.3,0,3,1,65.4,Yes,1,6.9,2,3.3,0.997,65.43,59.2,Medium,70.2,Mixed learners
S1398,Medium,82.7,32.2,6,0,2,56.0,Sometimes,1,25.5,5,6.0,0.827,28.0,25.1,Poor,60.2,Last-minute learners
